,,,,,,,,,,,,,,,,,,
,,Absolute count,,,,,,,,,,,,,,,,
,ID,5,7,9,11,14,16,18,20,22,24,30,32,38,42,44,TOT,
,Feature,106,107,108,110,112,114,115,116,117,118,121,122,125,127,128,AN,RN%
WOOD,Salvadora persica,,,3,,,,,,,,,,,,,3,0.755667506297229
,Azadirachta indica,2,,,,,,,,,,,,,,,2,0.503778337531486
,Capparis decidua,,,7,,,,,,,,,41,2,,17,67,16.8765743073048
,Balanites aegyptiaca,,,,,,4,,,2,,,,,,,6,1.51133501259446
,cf. Aerva javanica,,3,,,,,,,,,,,,,,3,0.755667506297229
,,,,,,,,,,,,,,,,,,
EXOTIC,cf.  Pistacia integerrima,,,1,,,,,,,,,,,,,1,0.251889168765743
,,,,,,,,,,,,,,,,,,
NON-WOODY,Monocotyledon,6,11,9,20,19,2,,2,32,7,5,2,43,36,14,208,52.3929471032746
,parenchyma,,,,,,,,,,,,,47,,,47,11.8387909319899
,leaf fragment,,,,,,,,,,,,1,5,,1,7,1.7632241813602
,grass,,,,,,,,,,1,,,,,,1,0.251889168765743
,,,,,,,,,,,,,,,,,,
,Undetermined,3,15,6,2,5,2,2,,1,4,1,1,8,,2,52,13.0982367758186
,,,,,,,,,,,,,,,,,,
,TOT,11,29,26,22,24,8,2,2,35,12,6,45,105,36,34,397,100
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Relative number,,,,,,,,,,,,,,,,
,ID,5,7,9,11,14,16,18,20,22,24,30,32,38,42,44,,
,Feature,106,107,108,110,112,114,115,116,117,118,121,122,125,127,128,,
WOOD,Salvadora persica,,,11.5,,,,,,,,,,,,,,
,Azadirachta indica,18.2,,,,,,,,,,,,,,,,
,Capparis decidua,,,26.9,,,,,,,,,91.1,1.9,,50.0,,
,Balanites aegyptiaca,,,,,,50.0,,,5.7,,,,,,,,
,cf. Aerva javanica,,10.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EXOTIC,cf.  Pistacia integerrima,,,3.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NON-WOODY,Monocotyledon,54.5,37.9,34.6,90.9,79.2,25.0,,100,91.4,58.3,83.3,4.4,41.0,100,41.2,,
,parenchyma,,,,,,,,,,,,,44.8,,,,
,leaf fragment,,,,,,,,,,,,2.2,4.8,,2.9,,
,grass,,,,,,,,,,8.3,,,,,,,
,,,,,,,,,,,,,,,,,,
,Undetermined,27.3,51.7,23.1,9.1,20.8,25.0,100,,2.9,33.3,16.7,2.2,7.6,,5.9,,
,,,,,,,,,,,,,,,,,,
,TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
