Table: Summary of global RDAs for each response data subset.,,,,,,,
,,,,,,,
Global RDAs,Total Inertia,Constrained Inertia,,Adjusted-R²,Unconstrained Inertia,,p-value
,,Total,Proportion,,Total,Proportion,
Crop selection,0.441,0.401,0.908,0.563,0.041,0.092,0.002
FM cultivation,0.318,0.303,0.951,0.644,0.0156,0.049,0.057
PM cultivation,0.388,0.388,1,1,0,0,N/A
SB cultivation,0.429,0.413,0.963,0.718,0.016,0.037,0.004
,,,,,,,
,,,,,,,
Table: Summary of RDAs by FS variables for each response data subset.,,,,,,,
,,,,,,,
RDAs by FS variables,Total Inertia,Constrained Inertia,,Adjusted-R²,Unconstrained Inertia,,p-value
,,Total,Proportion,,Total,Proportion,
Crop selection,0.441,0.259,0.587,0.549,0.182,0.413,0.001
FM cultivation,0.318,0.206,0.648,0.607,0.112,0.352,0.001
PM cultivation,0.388,0.356,0.92,0.878,0.031,0.08,0.001
SB cultivation,0.429,0.127,0.296,0.24,0.302,0.704,0.001
,,,,,,,
,,,,,,,
Table: Summary of RDAs by XY coordinates for each response data subset.,,,,,,,
,,,,,,,
RDAs by XY coordinates,Total Inertia,Constrained Inertia,,Adjusted-R²,Unconstrained Inertia,,p-value
,,Total,Proportion,,Total,Proportion,
Crop selection,0.441,0.078,0.178,0.154,0.363,0.822,0.001
FM cultivation,0.318,0.01,0.03,-0.042,0.309,0.97,0.743
PM cultivation,0.388,0.122,0.315,0.258,0.266,0.685,0.003
SB cultivation,0.429,0.03,0.07,0.034,0.399,0.93,0.08
,,,,,,,
,,,,,,,
Table: Summary of RDAs by dbMEM for each response data subset.,,,,,,,
,,,,,,,
RDAs by dbMEM,Total Inertia,Constrained Inertia,,Adjusted-R²,Unconstrained Inertia,,p-value
,,Total,Proportion,,Total,Proportion,
Crop selection (detrended),0.363,0.065,0.179,-0.06,0.298,0.821,0.808
FM cultivation,0.318,0.056,0.177,-0.038,0.262,0.823,0.634
PM cultivation (detrended),0.266,0.072,0.273,0.1,0.193,0.727,0.168
SB cultivation,0.429,0.109,0.254,0.017,0.32,0.746,0.368
